,precision,recall,f1-score,support
dyed-lifted-polyps,0.7511111111111111,0.845,0.7952941176470588,200.0
dyed-resection-margins,0.9056603773584906,0.72,0.8022284122562674,200.0
esophagitis,0.83125,0.665,0.7388888888888889,200.0
normal-cecum,0.8558558558558559,0.95,0.9004739336492891,200.0
normal-pylorus,0.9339622641509434,0.99,0.9611650485436893,200.0
normal-z-line,0.7212389380530974,0.815,0.7652582159624414,200.0
polyps,0.8393782383419689,0.81,0.8244274809160306,200.0
ulcerative-colitis,0.9064039408866995,0.92,0.913151364764268,200.0
accuracy,0.839375,0.839375,0.839375,0.839375
macro avg,0.8431075907197709,0.839375,0.8376109328284917,1600.0
weighted avg,0.8431075907197709,0.839375,0.8376109328284917,1600.0
